learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),randomNumber
1,4,0,0.238,0.877,0.163,0.489166
1,4,1,0.238,0.877,0.163,0.944336
1,4,2,0.238,0.877,0.163,0.522308
1,4,3,0.238,0.877,0.163,0.202057
1,4,3,0.238,0.877,0.163,0.413727
1,4,3,0.238,0.877,0.163,0.173615
2,8,0,0.201,0.881,0.16,0.237793
2,8,1,0.201,0.881,0.16,0.633392
2,8,2,0.201,0.881,0.16,0.976257
2,8,3,0.201,0.881,0.16,0.433777
2,8,4,0.201,0.881,0.16,0.503082
2,8,5,0.201,0.881,0.16,0.50058
2,8,6,0.201,0.881,0.16,0.657776
2,8,7,0.201,0.881,0.16,0.544556
3,10,0,0.215,0.875,0.15,0.705872
3,10,1,0.215,0.875,0.15,0.696106
3,10,2,0.215,0.875,0.15,0.261627
3,10,3,0.215,0.875,0.15,0.955933
3,10,4,0.215,0.875,0.15,0.604492
3,10,5,0.215,0.875,0.15,0.096741
3,10,5,0.215,0.875,0.15,0.017487
3,10,5,0.215,0.875,0.15,0.702423
3,10,6,0.215,0.875,0.15,0.893463
3,10,7,0.215,0.875,0.15,0.870514
3,10,8,0.215,0.875,0.15,0.024292
3,10,8,0.215,0.875,0.15,0.265167
3,10,8,0.215,0.875,0.15,0.940765
3,10,9,0.215,0.875,0.15,0.112579
3,10,9,0.215,0.875,0.15,0.27829
3,10,9,0.215,0.875,0.15,0.486053
4,13,0,0.229,0.865,0.154,0.164185
4,13,0,0.229,0.865,0.154,0.291779
4,13,0,0.229,0.865,0.154,0.148041
4,13,0,0.229,0.865,0.154,0.136871
4,13,1,0.229,0.865,0.154,0.604187
4,13,2,0.229,0.865,0.154,0.056519
4,13,2,0.229,0.865,0.154,0.566406
4,13,2,0.229,0.865,0.154,0.64386
4,13,3,0.229,0.865,0.154,0.764038
4,13,4,0.229,0.865,0.154,0.751984
4,13,5,0.229,0.865,0.154,0.102448
4,13,5,0.229,0.865,0.154,0.726105
4,13,5,0.229,0.865,0.154,0.009338
4,13,5,0.229,0.865,0.154,0.266357
4,13,6,0.229,0.865,0.154,0.020325
4,13,6,0.229,0.865,0.154,0.264771
4,13,6,0.229,0.865,0.154,0.920685
4,13,7,0.229,0.865,0.154,0.736572
4,13,8,0.229,0.865,0.154,0.673584
4,13,9,0.229,0.865,0.154,0.873047
4,13,10,0.229,0.865,0.154,0.390594
4,13,11,0.229,0.865,0.154,0.565002
4,13,12,0.229,0.865,0.154,0.764008
5,9,0,0.22,0.871,0.172,0.39093
5,9,1,0.22,0.871,0.172,0.675934
5,9,2,0.22,0.871,0.172,0.441742
5,9,3,0.22,0.871,0.172,0.141418
5,9,3,0.22,0.871,0.172,0.996826
5,9,4,0.22,0.871,0.172,0.627747
5,9,5,0.22,0.871,0.172,0.475189
5,9,6,0.22,0.871,0.172,0.054962
5,9,6,0.22,0.871,0.172,0.551819
5,9,6,0.22,0.871,0.172,0.147095
5,9,6,0.22,0.871,0.172,0.561401
5,9,7,0.22,0.871,0.172,0.613342
5,9,8,0.22,0.871,0.172,0.306335
6,19,0,0.22,0.863,0.181,0.284119
6,19,1,0.22,0.863,0.181,0.161957
6,19,1,0.22,0.863,0.181,0.118042
6,19,1,0.22,0.863,0.181,0.83548
6,19,2,0.22,0.863,0.181,0.538483
6,19,3,0.22,0.863,0.181,0.045166
6,19,3,0.22,0.863,0.181,0.08667
6,19,3,0.22,0.863,0.181,0.582367
6,19,4,0.22,0.863,0.181,0.184998
6,19,4,0.22,0.863,0.181,0.109558
