learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),randomNumber,nodeRecommendationID
1,4,3,0.238,0.877,0.163,0.413727,0
3,10,5,0.215,0.875,0.15,0.017487,0
3,10,8,0.215,0.875,0.15,0.265167,1
3,10,9,0.215,0.875,0.15,0.27829,2
4,13,0,0.229,0.865,0.154,0.291779,0
4,13,2,0.229,0.865,0.154,0.566406,6
4,13,5,0.229,0.865,0.154,0.726105,4
4,13,6,0.229,0.865,0.154,0.264771,9
5,9,3,0.22,0.871,0.172,0.996826,4
5,9,6,0.22,0.871,0.172,0.551819,6
6,19,1,0.22,0.863,0.181,0.118042,4
6,19,3,0.22,0.863,0.181,0.08667,6
6,19,4,0.22,0.863,0.181,0.109558,9
6,19,7,0.22,0.863,0.181,0.453583,0
6,19,14,0.22,0.863,0.181,0.500763,3
7,8,2,0.209,0.866,0.153,0.96991,4
7,8,4,0.209,0.866,0.153,0.105011,6
9,13,0,0.199,0.871,0.156,0.237122,4
9,13,1,0.199,0.871,0.156,0.593109,2
9,13,4,0.199,0.871,0.156,0.87735,5
9,13,7,0.199,0.871,0.156,0.584076,1
9,13,12,0.199,0.871,0.156,0.678467,6
