learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),rr,fr,sr,rating,ratingCode
1,4,0,0.238,0.877,0.163,0.96987915,N/A,N/A,N/A,No Recommendation Request
1,4,1,0.238,0.877,0.163,0.881378174,N/A,N/A,N/A,No Recommendation Request
1,4,2,0.238,0.877,0.163,0.184326172,0.264343262,0.786254883,N/A,No Rating Submission
1,4,3,0.238,0.877,0.163,0.988464355,N/A,N/A,N/A,No Recommendation Request
2,8,0,0.201,0.881,0.16,0.544342041,N/A,N/A,N/A,No Recommendation Request
2,8,1,0.201,0.881,0.16,0.814666748,N/A,N/A,N/A,No Recommendation Request
2,8,2,0.201,0.881,0.16,0.180908203,0.653839111,0.213470459,N/A,No Rating Submission
2,8,3,0.201,0.881,0.16,0.949279785,N/A,N/A,N/A,No Recommendation Request
2,8,4,0.201,0.881,0.16,0.093109131,0.530944824,0.812042236,N/A,No Rating Submission
2,8,5,0.201,0.881,0.16,0.819274902,N/A,N/A,N/A,No Recommendation Request
2,8,6,0.201,0.881,0.16,0.374053955,N/A,N/A,N/A,No Recommendation Request
2,8,7,0.201,0.881,0.16,0.243713379,N/A,N/A,N/A,No Recommendation Request
3,10,0,0.215,0.875,0.15,0.677093506,N/A,N/A,N/A,No Recommendation Request
3,10,1,0.215,0.875,0.15,0.020507813,0.054077148,0.76739502,N/A,No Rating Submission
3,10,2,0.215,0.875,0.15,0.055725098,0.499908447,0.225585938,N/A,No Rating Submission
3,10,3,0.215,0.875,0.15,0.52166748,N/A,N/A,N/A,No Recommendation Request
3,10,4,0.215,0.875,0.15,0.834869385,N/A,N/A,N/A,No Recommendation Request
3,10,5,0.215,0.875,0.15,0.503051758,N/A,N/A,N/A,No Recommendation Request
3,10,6,0.215,0.875,0.15,0.690460205,N/A,N/A,N/A,No Recommendation Request
3,10,7,0.215,0.875,0.15,0.752685547,N/A,N/A,N/A,No Recommendation Request
3,10,8,0.215,0.875,0.15,0.878967285,N/A,N/A,N/A,No Recommendation Request
3,10,9,0.215,0.875,0.15,0.298065186,N/A,N/A,N/A,No Recommendation Request
4,13,0,0.229,0.865,0.154,0.591217041,N/A,N/A,N/A,No Recommendation Request
4,13,1,0.229,0.865,0.154,0.232208252,N/A,N/A,N/A,No Recommendation Request
4,13,2,0.229,0.865,0.154,0.908721924,N/A,N/A,N/A,No Recommendation Request
4,13,3,0.229,0.865,0.154,0.853515625,N/A,N/A,N/A,No Recommendation Request
4,13,4,0.229,0.865,0.154,0.294952393,N/A,N/A,N/A,No Recommendation Request
4,13,5,0.229,0.865,0.154,0.300811768,N/A,N/A,N/A,No Recommendation Request
4,13,6,0.229,0.865,0.154,0.857910156,N/A,N/A,N/A,No Recommendation Request
4,13,7,0.229,0.865,0.154,0.129058838,0.306549072,0.708435059,N/A,No Rating Submission
